step,mode,flips_used,cost,layer_name,weight_idx,bit_pos,old_int8,new_int8,delta_value_fp32,proxy_score,exact_score,L_calib,delta_L_calib,L_eval,delta_L_eval,acc_eval,delta_acc_eval,topk_considered,verification_time,objective
1,global,1,1,layer2.0.downsample.0,298,7,-23,105,0.583704,0.071452,0.212009,0.449789,0.212009,0.412897,0.143121,88.7500,-3.6500,64,9.4967,0.143121
2,global,2,1,layer2.0.downsample.0,290,7,-57,71,0.583704,0.413724,1.082937,1.532726,1.082937,1.826895,1.413998,67.0500,-21.7000,64,9.2655,1.413998
3,global,3,1,layer2.0.downsample.0,463,7,-62,66,0.583704,0.857612,2.668168,4.200894,2.668168,5.039692,3.212797,44.8500,-22.2000,64,9.0598,3.212797
4,global,4,1,layer2.0.downsample.0,458,7,-50,78,0.583704,3.059312,3.871228,8.072122,3.871228,9.051350,4.011658,27.8000,-17.0500,64,9.1084,4.011658
5,global,5,1,layer2.0.downsample.0,289,7,-6,122,0.583704,4.035447,3.944082,12.016204,3.944082,13.006161,3.954811,16.4500,-11.3500,64,8.9604,3.954811
6,global,6,1,layer2.2.conv1,2755,7,-8,120,0.382987,1.725014,5.204223,17.220427,5.204223,17.575377,4.569216,10.2000,-6.2500,64,9.9267,4.569216
