step,mode,flips_used,cost,layer_name,weight_idx,bit_pos,old_int8,new_int8,delta_value_fp32,proxy_score,exact_score,L_calib,delta_L_calib,L_eval,delta_L_eval,acc_eval,delta_acc_eval,topk_considered,verification_time,objective
1,nonzero_only,1,1,layer2.0.downsample.0,298,7,-23,105,0.583704,0.071452,0.212009,0.449789,0.212009,0.412897,0.143121,88.7500,-3.6500,64,15.0771,0.143121
2,nonzero_only,2,1,layer2.0.downsample.0,290,7,-57,71,0.583704,0.413724,1.082937,1.532726,1.082937,1.826895,1.413998,67.0500,-21.7000,64,16.8849,1.413998
3,nonzero_only,3,1,layer2.2.conv1,2755,7,-8,120,0.382987,0.428359,3.062389,4.595115,3.062389,5.171476,3.344581,40.0000,-27.0500,64,16.1820,3.344581
4,nonzero_only,4,1,layer2.2.conv1,2761,6,21,85,0.191494,4.370068,5.352670,9.947784,5.352670,10.481059,5.309583,17.2500,-22.7500,64,15.7223,5.309583
5,nonzero_only,5,1,layer2.0.downsample.0,289,7,-6,122,0.583704,3.068937,4.433660,14.381444,4.433660,14.784735,4.303676,10.1500,-7.1000,64,13.9691,4.303676
