rank,action_type,layer_name,cost,proxy_norm,exact_delta,exact_norm,apply_ok,revert_ok,pre_eq_baseline,post_eq_pre,post_eq_baseline,repeat_abs,repeat_ok
0,weight_bit,layer2.0.downsample.0,1,0.2001410938018644,0.5389866083860397,0.5389866083860397,True,True,True,True,True,0.0,True
1,weight_bit,layer2.0.downsample.0,1,0.19079352486247458,0.04073634743690491,0.04073634743690491,True,True,True,True,True,0.0,True
2,weight_bit,conv1,1,0.16566281254198145,0.06969355046749115,0.06969355046749115,True,True,True,True,True,0.0,True
3,weight_bit,conv1,1,0.1504112964681248,0.047861501574516296,0.047861501574516296,True,True,True,True,True,0.0,True
4,weight_bit,conv1,1,0.13805342416324962,-0.007267788052558899,-0.007267788052558899,True,True,True,True,True,0.0,True
5,weight_bit,conv1,1,0.13268126622694787,0.07345342636108398,0.07345342636108398,True,True,True,True,True,0.0,True
6,weight_bit,conv1,1,0.1322580452816844,-0.0006513446569442749,-0.0006513446569442749,True,True,True,True,True,0.0,True
7,weight_bit,layer2.0.downsample.0,1,0.1298936473642911,0.23044221103191376,0.23044221103191376,True,True,True,True,True,0.0,True
8,weight_bit,layer2.0.downsample.0,1,0.12826147416683398,0.17775686085224152,0.17775686085224152,True,True,True,True,True,0.0,True
9,weight_bit,layer2.0.downsample.0,1,0.12766681800988522,0.05726748704910278,0.05726748704910278,True,True,True,True,True,0.0,True
10,weight_bit,conv1,1,0.12239747882991026,-0.011182919144630432,-0.011182919144630432,True,True,True,True,True,0.0,True
11,weight_bit,conv1,1,0.11832656755357362,0.07513876259326935,0.07513876259326935,True,True,True,True,True,0.0,True
12,weight_bit,conv1,1,0.11798725981802605,0.02732023596763611,0.02732023596763611,True,True,True,True,True,0.0,True
13,weight_bit,conv1,1,0.11724968327778384,0.02118319272994995,0.02118319272994995,True,True,True,True,True,0.0,True
14,weight_bit,conv1,1,0.1137325578093833,0.07129082083702087,0.07129082083702087,True,True,True,True,True,0.0,True
15,weight_bit,conv1,1,0.11322520528007374,-0.010817304253578186,-0.010817304253578186,True,True,True,True,True,0.0,True
16,weight_bit,conv1,1,0.11256146225020203,0.014341488480567932,0.014341488480567932,True,True,True,True,True,0.0,True
17,weight_bit,layer2.0.downsample.0,1,0.11086578106537459,0.02328665554523468,0.02328665554523468,True,True,True,True,True,0.0,True
18,weight_bit,conv1,1,0.11007209832668785,0.07556666433811188,0.07556666433811188,True,True,True,True,True,0.0,True
19,weight_bit,conv1,1,0.10976036322367122,-0.010215580463409424,-0.010215580463409424,True,True,True,True,True,0.0,True
20,weight_bit,layer2.0.downsample.0,1,0.10943442435153017,0.38977281749248505,0.38977281749248505,True,True,True,True,True,0.0,True
21,weight_bit,conv1,1,0.10895568829713653,0.05845661461353302,0.05845661461353302,True,True,True,True,True,0.0,True
22,weight_bit,conv1,1,0.10857578592294814,0.05981086194515228,0.05981086194515228,True,True,True,True,True,0.0,True
23,weight_bit,layer2.0.downsample.0,1,0.1050602555008151,0.042661845684051514,0.042661845684051514,True,True,True,True,True,0.0,True
24,weight_bit,conv1,1,0.10469104450977795,0.03675861656665802,0.03675861656665802,True,True,True,True,True,0.0,True
25,weight_bit,conv1,1,0.10173219876316075,-0.024260371923446655,-0.024260371923446655,True,True,True,True,True,0.0,True
26,weight_bit,layer2.0.downsample.0,1,0.10127584590475003,0.0318424254655838,0.0318424254655838,True,True,True,True,True,0.0,True
27,weight_bit,conv1,1,0.10059391682043461,0.0658559650182724,0.0658559650182724,True,True,True,True,True,0.0,True
28,weight_bit,conv1,1,0.09841648338749565,0.0316324383020401,0.0316324383020401,True,True,True,True,True,0.0,True
29,weight_bit,conv1,1,0.09799049253625469,0.03835548460483551,0.03835548460483551,True,True,True,True,True,0.0,True
30,weight_bit,conv1,1,0.09793585298016794,0.05933360755443573,0.05933360755443573,True,True,True,True,True,0.0,True
31,weight_bit,conv1,1,0.09728293671971855,0.02256101369857788,0.02256101369857788,True,True,True,True,True,0.0,True
