rank,action_type,layer_name,cost,proxy_norm,exact_delta,exact_norm,apply_ok,revert_ok,pre_eq_baseline,post_eq_pre,post_eq_baseline,repeat_abs,repeat_ok
32,weight_bit,conv1,1,0.0969128267102306,0.014938995242118835,0.014938995242118835,True,True,True,True,True,0.0,True
33,weight_bit,conv1,1,0.09583322999539234,0.033235788345336914,0.033235788345336914,True,True,True,True,True,0.0,True
34,weight_bit,conv1,1,0.09492329289502077,0.05420693755149841,0.05420693755149841,True,True,True,True,True,0.0,True
35,weight_bit,layer2.0.downsample.0,1,0.09480256726153868,0.1329539269208908,0.1329539269208908,True,True,True,True,True,0.0,True
36,weight_bit,conv1,1,0.09455143014419853,0.020451515913009644,0.020451515913009644,True,True,True,True,True,0.0,True
37,weight_bit,layer2.0.downsample.0,1,0.09263503130494932,0.18627266585826874,0.18627266585826874,True,True,True,True,True,0.0,True
38,weight_bit,layer2.0.downsample.0,1,0.09223424203137043,0.07994683086872101,0.07994683086872101,True,True,True,True,True,0.0,True
39,weight_bit,conv1,1,0.09196733773493193,0.02452334761619568,0.02452334761619568,True,True,True,True,True,0.0,True
40,weight_bit,conv1,1,0.09192463980668997,0.05557356774806976,0.05557356774806976,True,True,True,True,True,0.0,True
41,weight_bit,layer2.0.downsample.0,1,0.09023511428492093,0.035503536462783813,0.035503536462783813,True,True,True,True,True,0.0,True
42,weight_bit,layer2.0.downsample.0,1,0.09022552053139421,0.22478781640529633,0.22478781640529633,True,True,True,True,True,0.0,True
43,weight_bit,conv1,1,0.0896946241337222,0.044954508543014526,0.044954508543014526,True,True,True,True,True,0.0,True
44,weight_bit,conv1,1,0.08866938538701863,0.031137242913246155,0.031137242913246155,True,True,True,True,True,0.0,True
45,weight_bit,layer2.0.downsample.0,1,0.08752467451361667,0.09248493611812592,0.09248493611812592,True,True,True,True,True,0.0,True
46,weight_bit,layer1.2.conv1,1,0.08702353353386272,0.05683520436286926,0.05683520436286926,True,True,True,True,True,0.0,True
47,weight_bit,layer2.0.downsample.0,1,0.08677879714287329,0.158813014626503,0.158813014626503,True,True,True,True,True,0.0,True
48,weight_bit,conv1,1,0.08657566977623699,0.025465399026870728,0.025465399026870728,True,True,True,True,True,0.0,True
49,weight_bit,layer2.0.downsample.0,1,0.0856073763530052,0.018956422805786133,0.018956422805786133,True,True,True,True,True,0.0,True
50,weight_bit,conv1,1,0.08558038279292468,-0.023858264088630676,-0.023858264088630676,True,True,True,True,True,0.0,True
51,weight_bit,layer2.0.downsample.0,1,0.08544095995570089,0.02171628177165985,0.02171628177165985,True,True,True,True,True,0.0,True
52,weight_bit,conv1,1,0.08349013818465423,0.041531890630722046,0.041531890630722046,True,True,True,True,True,0.0,True
53,weight_bit,layer1.2.conv1,1,0.08332635167026936,0.04701469838619232,0.04701469838619232,True,True,True,True,True,0.0,True
54,weight_bit,conv1,1,0.08316510523426857,0.047364041209220886,0.047364041209220886,True,True,True,True,True,0.0,True
55,weight_bit,conv1,1,0.08194331235032948,0.02964198589324951,0.02964198589324951,True,True,True,True,True,0.0,True
56,weight_bit,layer2.0.downsample.0,1,0.08149361311138925,0.13479940593242645,0.13479940593242645,True,True,True,True,True,0.0,True
57,weight_bit,conv1,1,0.08068849322229799,0.025543615221977234,0.025543615221977234,True,True,True,True,True,0.0,True
58,weight_bit,conv1,1,0.07956530209512547,0.03931902348995209,0.03931902348995209,True,True,True,True,True,0.0,True
59,weight_bit,layer2.0.downsample.0,1,0.07863049958155877,0.02681034803390503,0.02681034803390503,True,True,True,True,True,0.0,True
60,weight_bit,layer1.2.conv1,1,0.07826603824112688,0.04661945998668671,0.04661945998668671,True,True,True,True,True,0.0,True
61,weight_bit,layer1.0.conv2,1,0.07796686758939853,0.037728309631347656,0.037728309631347656,True,True,True,True,True,0.0,True
62,index_1bit,layer2.0.downsample.0,1,0.07750987261533737,0.015646055340766907,0.015646055340766907,True,True,True,True,True,0.0,True
63,weight_bit,layer1.0.conv2,1,0.07729020268616171,0.03560557961463928,0.03560557961463928,True,True,True,True,True,0.0,True
