action_type,layer_name,cost,proxy_raw,proxy_norm,exact_delta,exact_norm
weight_bit,layer2.0.downsample.0,1,0.2001410938018644,0.2001410938018644,0.5389866083860397,0.5389866083860397
index_1bit,layer2.0.downsample.0,1,0.07750987261533737,0.07750987261533737,0.015646055340766907,0.015646055340766907
bitmask_swap,layer2.0.downsample.0,2,0.07750987261533737,0.038754936307668686,0.011658251285552979,0.005829125642776489
