step0,step1,action_type,N_total,N_topk,N_sampled,proxy_norm_max,proxy_norm_p99,proxy_norm_median,proxy_norm_min,selected_action_type,selected_exact_norm,topk_threshold
0,1,weight_bit,10500,32,10500,0.2001410938018644,0.06389999539905311,0.011857996137482951,0.0017388914740584238,weight_bit,0.5389866083860397,0.017010509967803955
0,1,index_1bit,50137,16,50137,0.07750987261533737,0.007737832143902779,0.0004401831538416445,3.015250715776574e-09,weight_bit,0.5389866083860397,0.017010509967803955
0,1,bitmask_swap,50137,16,50137,0.038754936307668686,0.0038689160719513893,0.00022009157692082226,1.507625357888287e-09,weight_bit,0.5389866083860397,0.017010509967803955
1,2,weight_bit,10500,32,10500,0.48766668720180917,0.17791039246337448,0.024989146929104367,0.0042176181029750515,weight_bit,0.9009289741516113,0.042768027633428574
1,2,index_1bit,49876,16,49876,0.19757123291492462,0.016370318830013275,0.0007802677864674479,3.876873577723927e-08,weight_bit,0.9009289741516113,0.042768027633428574
1,2,bitmask_swap,49876,16,49876,0.09878561645746231,0.008185159415006638,0.00039013389323372394,1.9384367888619636e-08,weight_bit,0.9009289741516113,0.042768027633428574
2,3,weight_bit,10500,32,10500,1.1554807901281379,0.4223707024473953,0.05992902459775351,0.009021717840638876,weight_bit,2.0254127979278564,0.12453176081180573
2,3,index_1bit,49830,16,49830,0.4411608874797821,0.04291399195790291,0.0016362361493520439,1.1834611512995252e-08,weight_bit,2.0254127979278564,0.12453176081180573
2,3,bitmask_swap,49830,16,49830,0.22058044373989105,0.021456995978951454,0.0008181180746760219,5.917305756497626e-09,weight_bit,2.0254127979278564,0.12453176081180573
3,4,weight_bit,10500,32,10500,2.84661136918578,0.9091447770861834,0.12296791744030777,0.018704505487617595,weight_bit,3.555081844329834,0.29061785340309143
3,4,index_1bit,49838,16,49838,1.1513311862945557,0.09537449479103088,0.0028531841235235333,5.1445688598050765e-08,weight_bit,3.555081844329834,0.29061785340309143
3,4,bitmask_swap,49838,16,49838,0.5756655931472778,0.04768724739551544,0.0014265920617617667,2.5722844299025382e-08,weight_bit,3.555081844329834,0.29061785340309143
4,5,weight_bit,10500,32,10500,4.190017699837881,1.2190814173465654,0.1924830309756551,0.026039575875835386,weight_bit,3.5878586769104004,0.3763214647769928
4,5,index_1bit,49848,16,49848,1.7098098993301392,0.13876482844352722,0.004040623316541314,4.943006715052434e-08,weight_bit,3.5878586769104004,0.3763214647769928
4,5,bitmask_swap,49848,16,49848,0.8549049496650696,0.06938241422176361,0.002020311658270657,2.471503357526217e-08,weight_bit,3.5878586769104004,0.3763214647769928
5,6,weight_bit,10500,32,10500,3.398459519464268,1.083222510128607,0.19786116171917634,0.026920161549158106,weight_bit,3.2552242279052734,0.33964240550994873
5,6,index_1bit,49881,16,49881,1.3806241750717163,0.13631485402584076,0.0034527292009443045,1.2352858319575333e-11,weight_bit,3.2552242279052734,0.33964240550994873
5,6,bitmask_swap,49881,16,49881,0.6903120875358582,0.06815742701292038,0.0017263646004721522,6.176429159787666e-12,weight_bit,3.2552242279052734,0.33964240550994873
6,7,weight_bit,10500,32,10500,2.8876992845619043,1.0466383936519605,0.20787995475291865,0.023116431803481774,weight_bit,3.988811492919922,0.29613247513771057
6,7,index_1bit,49892,16,49892,1.1333231925964355,0.14665254950523376,0.0033740864600986242,7.10025510608503e-11,weight_bit,3.988811492919922,0.29613247513771057
6,7,bitmask_swap,49892,16,49892,0.5666615962982178,0.07332627475261688,0.0016870432300493121,3.550127553042515e-11,weight_bit,3.988811492919922,0.29613247513771057
7,8,weight_bit,10500,32,10500,3.431754997871991,1.2462917296757325,0.21727894202948406,0.025047996649698145,weight_bit,3.505311965942383,0.31356358528137207
7,8,index_1bit,49859,16,49859,1.6600723266601562,0.1712915599346161,0.0035406905226409435,1.117057098201841e-15,weight_bit,3.505311965942383,0.31356358528137207
7,8,bitmask_swap,49859,16,49859,0.8300361633300781,0.08564577996730804,0.0017703452613204718,5.585285491009205e-16,weight_bit,3.505311965942383,0.31356358528137207
8,9,weight_bit,10500,32,10500,4.777722010543243,1.4454210319736944,0.2537939918305554,0.031229279010366096,weight_bit,3.698240280151367,0.37607237696647644
8,9,index_1bit,49785,16,49785,1.4483675956726074,0.1915096938610077,0.003913682885468006,1.5522747298078234e-17,weight_bit,3.698240280151367,0.37607237696647644
8,9,bitmask_swap,49785,16,49785,0.7241837978363037,0.09575484693050385,0.001956841442734003,7.761373649039117e-18,weight_bit,3.698240280151367,0.37607237696647644
9,10,weight_bit,10500,32,10500,3.4490992664894975,1.7349865236843982,0.24785309820932078,0.02659297367389568,weight_bit,3.4167346954345703,0.4255426824092865
9,10,index_1bit,49683,16,49683,1.3388303518295288,0.2197692096233368,0.003512890310958028,1.0750427789444849e-20,weight_bit,3.4167346954345703,0.4255426824092865
9,10,bitmask_swap,49683,16,49683,0.6694151759147644,0.1098846048116684,0.001756445155479014,5.3752138947224244e-21,weight_bit,3.4167346954345703,0.4255426824092865
