   1 |   1 |     weight_bit |    1 |   0.0678 |   0.3623 |   0.3623 |  84.52% |   0.6188 | bit7@w[287] t=81.65s
   2 |   2 |     weight_bit |    1 |   0.2182 |   0.9695 |   0.9695 |  71.44% |   1.5837 | bit7@w[290] t=84.23s
   3 |   3 |     weight_bit |    1 |   0.7090 |   1.9746 |   1.9746 |  52.88% |   3.5355 | bit7@w[463] t=84.27s
   4 |   4 |     weight_bit |    1 |   2.8411 |   3.4930 |   3.4930 |  31.45% |   7.0302 | bit7@w[298] t=81.53s
   5 |   5 |     weight_bit |    1 |   3.8690 |   3.7424 |   3.7424 |  18.51% |  10.7801 | bit7@w[289] t=83.26s
   6 |   6 |     weight_bit |    1 |   1.5336 |   4.0369 |   4.0369 |  12.50% |  14.8331 | bit7@w[2181] t=82.01s
   7 |   7 |     weight_bit |    1 |   2.5745 |   3.5501 |   3.5501 |  11.57% |  18.3864 | bit7@w[626] t=83.38s
   8 |   8 |     weight_bit |    1 |   3.9119 |   3.7427 |   3.7427 |  10.35% |  22.1192 | bit7@w[458] t=82.36s
