rank,action_type,layer_name,cost,proxy_norm,exact_delta,exact_norm,apply_ok,revert_ok,pre_eq_baseline,post_eq_pre,post_eq_baseline,repeat_abs,repeat_ok
0,weight_bit,layer3.1.conv2,1,39.895988536142795,13.3438720703125,13.3438720703125,True,True,,,,,True
1,weight_bit,layer3.1.conv2,1,36.076434839567355,11.6895751953125,11.6895751953125,True,True,,,,,True
2,weight_bit,layer3.1.conv2,1,34.040748500944574,10.906494140625,10.906494140625,True,True,,,,,True
3,weight_bit,layer3.2.conv1,1,16.94228842727216,15.5079345703125,15.5079345703125,True,True,,,,,True
4,weight_bit,layer3.2.conv1,1,16.638762979268904,15.74481201171875,15.74481201171875,True,True,,,,,True
5,weight_bit,layer3.2.conv1,1,16.142003360033414,15.6358642578125,15.6358642578125,True,True,,,,,True
6,weight_bit,layer3.2.conv1,1,16.11407742681149,14.581787109375,14.581787109375,True,True,,,,,True
7,weight_bit,layer3.2.conv1,1,15.91768318426739,15.72137451171875,15.72137451171875,True,True,,,,,True
8,weight_bit,layer3.1.conv2,1,15.851394749509382,13.48809814453125,13.48809814453125,True,True,,,,,True
9,weight_bit,layer3.2.conv1,1,15.760131484931662,14.230224609375,14.230224609375,True,True,,,,,True
10,index_1bit,layer3.1.conv2,1,15.584370613098145,9.8724365234375,9.8724365234375,True,True,,,,,True
11,weight_bit,layer3.2.conv1,1,15.121026513302922,13.68109130859375,13.68109130859375,True,True,,,,,True
12,weight_bit,layer3.2.conv1,1,15.099844160290559,14.589599609375,14.589599609375,True,True,,,,,True
13,weight_bit,layer3.2.conv1,1,14.809135554549357,13.36810302734375,13.36810302734375,True,True,,,,,True
14,weight_bit,layer3.2.conv1,1,14.539519527067341,13.55120849609375,13.55120849609375,True,True,,,,,True
15,weight_bit,layer3.2.conv1,1,14.300444870616502,12.976806640625,12.976806640625,True,True,,,,,True
16,weight_bit,layer3.2.conv1,1,13.539950966478045,12.5621337890625,12.5621337890625,True,True,,,,,True
17,weight_bit,layer3.2.conv1,1,13.395465982467385,12.15350341796875,12.15350341796875,True,True,,,,,True
18,weight_bit,layer3.2.conv1,1,13.294502302551564,15.2047119140625,15.2047119140625,True,True,,,,,True
19,weight_bit,layer3.2.conv1,1,13.283066495242565,12.05224609375,12.05224609375,True,True,,,,,True
20,weight_bit,layer3.2.conv1,1,12.627211050916685,12.075439453125,12.075439453125,True,True,,,,,True
21,weight_bit,layer3.2.conv1,1,12.583827401443386,11.6785888671875,11.6785888671875,True,True,,,,,True
22,weight_bit,layer3.2.conv1,1,12.488808306433839,12.3720703125,12.3720703125,True,True,,,,,True
23,weight_bit,layer3.2.conv1,1,12.455145766483838,11.57855224609375,11.57855224609375,True,True,,,,,True
24,weight_bit,layer3.2.conv1,1,12.338639084301121,11.43145751953125,11.43145751953125,True,True,,,,,True
25,weight_bit,layer3.2.conv1,1,12.176662985879602,4.32373046875,4.32373046875,True,True,,,,,True
26,weight_bit,layer3.2.conv1,1,12.077844922564736,14.09271240234375,14.09271240234375,True,True,,,,,True
27,weight_bit,layer3.1.conv2,1,12.056610087237459,9.91900634765625,9.91900634765625,True,True,,,,,True
28,weight_bit,layer3.2.conv1,1,11.952986195844687,4.32965087890625,4.32965087890625,True,True,,,,,True
29,weight_bit,layer3.2.conv1,1,11.94095488267294,11.05963134765625,11.05963134765625,True,True,,,,,True
30,weight_bit,layer3.2.conv1,1,11.87861679031198,11.0408935546875,11.0408935546875,True,True,,,,,True
31,weight_bit,layer3.2.conv1,1,11.740927006993957,11.40435791015625,11.40435791015625,True,True,,,,,True
32,weight_bit,layer3.2.conv1,1,11.623509859189426,10.49212646484375,10.49212646484375,True,True,,,,,True
33,weight_bit,layer3.2.conv1,1,11.561773257674758,10.73602294921875,10.73602294921875,True,True,,,,,True
34,weight_bit,layer3.2.conv1,1,11.559423403510323,10.7362060546875,10.7362060546875,True,True,,,,,True
35,weight_bit,layer3.1.conv2,1,11.341388519501152,2.625244140625,2.625244140625,True,True,,,,,True
