rank,action_type,layer_name,cost,proxy_norm,exact_delta,exact_norm,apply_ok,revert_ok,pre_eq_baseline,post_eq_pre,post_eq_baseline,repeat_abs,repeat_ok
0,weight_bit,layer2.0.downsample.0,1,0.48766668720180917,0.7426882982254028,0.7426882982254028,True,True,,,,,True
1,weight_bit,layer2.0.downsample.0,1,0.42018462499703446,0.8326685428619385,0.8326685428619385,True,True,,,,,True
2,weight_bit,layer2.0.downsample.0,1,0.41109280830487904,0.671845555305481,0.671845555305481,True,True,,,,,True
3,weight_bit,conv1,1,0.3869434062228123,0.14999330043792725,0.14999330043792725,True,True,,,,,True
4,weight_bit,layer2.0.downsample.0,1,0.3774495064995236,0.590420126914978,0.590420126914978,True,True,,,,,True
5,weight_bit,conv1,1,0.3501377231179248,0.19498306512832642,0.19498306512832642,True,True,,,,,True
6,weight_bit,conv1,1,0.34097836813372595,0.1473674178123474,0.1473674178123474,True,True,,,,,True
7,weight_bit,conv1,1,0.3343491670992407,0.17495787143707275,0.17495787143707275,True,True,,,,,True
8,weight_bit,layer1.0.conv1,1,0.31351288346141715,0.3827805519104004,0.3827805519104004,True,True,,,,,True
9,weight_bit,conv1,1,0.31220879141893576,0.17732244729995728,0.17732244729995728,True,True,,,,,True
10,weight_bit,conv1,1,0.3103459204619199,0.2509971857070923,0.2509971857070923,True,True,,,,,True
11,weight_bit,conv1,1,0.30290319459383497,0.1415507197380066,0.1415507197380066,True,True,,,,,True
12,weight_bit,conv1,1,0.30105749475520227,0.1704302430152893,0.1704302430152893,True,True,,,,,True
13,weight_bit,conv1,1,0.29767655441512986,0.24077683687210083,0.24077683687210083,True,True,,,,,True
14,weight_bit,conv1,1,0.2976726236771867,0.17189139127731323,0.17189139127731323,True,True,,,,,True
15,weight_bit,conv1,1,0.29624280051029217,0.18425077199935913,0.18425077199935913,True,True,,,,,True
16,weight_bit,layer2.0.downsample.0,1,0.28954870118127474,0.5719685554504395,0.5719685554504395,True,True,,,,,True
17,weight_bit,layer1.0.conv1,1,0.27826836226600804,0.1657414436340332,0.1657414436340332,True,True,,,,,True
18,weight_bit,layer2.0.downsample.0,1,0.27559807887253385,0.5839312076568604,0.5839312076568604,True,True,,,,,True
19,weight_bit,conv1,1,0.27413651421226604,0.1900293231010437,0.1900293231010437,True,True,,,,,True
20,weight_bit,layer2.0.downsample.0,1,0.2704443805818144,0.12215721607208252,0.12215721607208252,True,True,,,,,True
21,weight_bit,conv1,1,0.2701870420502779,0.179210364818573,0.179210364818573,True,True,,,,,True
22,weight_bit,conv1,1,0.2694570051711196,0.22294074296951294,0.22294074296951294,True,True,,,,,True
23,weight_bit,conv1,1,0.2661479674526035,0.17097711563110352,0.17097711563110352,True,True,,,,,True
24,weight_bit,layer2.0.downsample.0,1,0.2621181158483239,0.17967641353607178,0.17967641353607178,True,True,,,,,True
25,weight_bit,conv1,1,0.25940999301491985,-0.023859143257141113,-0.023859143257141113,True,True,,,,,True
26,weight_bit,conv1,1,0.2580658875193116,0.21425890922546387,0.21425890922546387,True,True,,,,,True
27,weight_bit,layer2.0.downsample.0,1,0.25547255844164596,0.9009289741516113,0.9009289741516113,True,True,,,,,True
28,weight_bit,layer2.0.downsample.0,1,0.2519409786076068,0.3593212366104126,0.3593212366104126,True,True,,,,,True
29,weight_bit,conv1,1,0.250972928367851,0.2135961651802063,0.2135961651802063,True,True,,,,,True
30,weight_bit,conv1,1,0.2460666548248973,0.2217341661453247,0.2217341661453247,True,True,,,,,True
31,weight_bit,layer2.0.downsample.0,1,0.244320180928554,0.15266460180282593,0.15266460180282593,True,True,,,,,True
32,weight_bit,layer2.0.downsample.0,1,0.24383334360090458,0.2827075719833374,0.2827075719833374,True,True,,,,,True
33,weight_bit,layer1.0.conv1,1,0.24168540139059935,0.11189115047454834,0.11189115047454834,True,True,,,,,True
34,weight_bit,layer2.0.downsample.0,1,0.2415426544655439,0.4211852550506592,0.4211852550506592,True,True,,,,,True
35,weight_bit,conv1,1,0.24048944339256195,0.1782776117324829,0.1782776117324829,True,True,,,,,True
36,weight_bit,conv1,1,0.23895038708703709,0.2040075659751892,0.2040075659751892,True,True,,,,,True
37,weight_bit,conv1,1,0.23430289861872566,-0.10104340314865112,-0.10104340314865112,True,True,,,,,True
38,weight_bit,conv1,1,0.23212092529839623,-0.08557277917861938,-0.08557277917861938,True,True,,,,,True
39,weight_bit,layer1.0.conv2,1,0.22781650549246812,0.2656806707382202,0.2656806707382202,True,True,,,,,True
40,weight_bit,layer1.0.conv2,1,0.22664824425207186,0.25572407245635986,0.25572407245635986,True,True,,,,,True
41,weight_bit,conv1,1,0.22216174559646973,-0.06701529026031494,-0.06701529026031494,True,True,,,,,True
42,weight_bit,layer2.0.downsample.0,1,0.2183528039190712,0.3394448757171631,0.3394448757171631,True,True,,,,,True
43,weight_bit,conv1,1,0.21790553795428735,0.12427449226379395,0.12427449226379395,True,True,,,,,True
44,weight_bit,conv1,1,0.21730880136362174,0.1654006838798523,0.1654006838798523,True,True,,,,,True
45,weight_bit,layer1.0.conv2,1,0.2141032714925757,0.25984394550323486,0.25984394550323486,True,True,,,,,True
46,weight_bit,layer2.0.conv1,1,0.2140026245487654,0.15354841947555542,0.15354841947555542,True,True,,,,,True
47,weight_bit,conv1,1,0.21316550474352525,-0.0623701810836792,-0.0623701810836792,True,True,,,,,True
48,weight_bit,layer2.0.downsample.0,1,0.2130745520920847,0.15283364057540894,0.15283364057540894,True,True,,,,,True
49,weight_bit,conv1,1,0.21228614579607097,0.164767324924469,0.164767324924469,True,True,,,,,True
50,weight_bit,layer2.0.downsample.0,1,0.21114619893534226,0.13764798641204834,0.13764798641204834,True,True,,,,,True
51,weight_bit,layer1.0.conv2,1,0.21112356375070007,0.23371487855911255,0.23371487855911255,True,True,,,,,True
52,weight_bit,layer2.0.conv1,1,0.21063177740674277,0.1569979190826416,0.1569979190826416,True,True,,,,,True
53,weight_bit,layer2.0.conv1,1,0.2097092139877077,0.15564876794815063,0.15564876794815063,True,True,,,,,True
54,weight_bit,layer1.0.conv1,1,0.20959839526741142,0.10043102502822876,0.10043102502822876,True,True,,,,,True
55,weight_bit,conv1,1,0.20945049765182944,0.15907156467437744,0.15907156467437744,True,True,,,,,True
56,weight_bit,layer2.0.conv1,1,0.2087125866604822,0.15023237466812134,0.15023237466812134,True,True,,,,,True
57,weight_bit,conv1,1,0.20839800234070438,-0.11018931865692139,-0.11018931865692139,True,True,,,,,True
58,weight_bit,conv1,1,0.2078316082885472,0.08485239744186401,0.08485239744186401,True,True,,,,,True
