step,topk_size,proxy_score,exact_score,proxy_exact_match
1,64,0.04148634523153305,0.03932955861091614,False
2,64,0.06175531446933746,0.0401775985956192,False
3,64,0.079155832529068,0.04026705026626587,False
4,64,0.104365274310112,0.04679778218269348,False
5,64,0.1296902298927307,0.06715124845504761,False
6,64,0.14648684859275818,0.095740407705307,False
7,64,0.18562380969524384,0.20183217525482178,False
8,64,0.24691645801067352,0.18816375732421875,False
9,64,0.33606764674186707,0.20683050155639648,True
10,64,0.36370739340782166,0.24003350734710693,False
11,64,0.42853137850761414,0.2791111469268799,False
12,64,0.4994778633117676,0.2809058427810669,False
13,64,0.5783936381340027,0.30402982234954834,False
14,64,0.6145258545875549,0.31419920921325684,False
15,64,0.6933245062828064,0.32059550285339355,False
16,64,0.7414631247520447,0.33837366104125977,False
17,64,0.7839587926864624,0.3542649745941162,False
18,64,0.7863914966583252,0.3579881191253662,False
19,64,0.8550685048103333,0.403350830078125,False
20,64,0.9427528381347656,0.4162735939025879,True
21,64,0.9393965601921082,0.407073974609375,False
22,64,1.002338171005249,0.39920663833618164,False
23,64,0.9810362458229065,0.3766975402832031,False
24,64,0.9896979928016663,0.37754106521606445,False
25,64,0.9799228310585022,0.3850135803222656,False
26,64,0.9977078437805176,0.32454872131347656,False
27,64,1.023455023765564,0.34709930419921875,False
28,64,0.9731487035751343,0.6193933486938477,False
29,64,1.064780354499817,0.42312097549438477,False
30,64,1.1414525508880615,0.3400259017944336,False
31,64,1.1039958000183105,0.3291902542114258,False
32,64,1.088674545288086,0.3309135437011719,False
33,64,1.116845965385437,0.35518455505371094,False
34,64,1.1162729263305664,0.3735990524291992,False
35,64,1.0935691595077515,0.3499736785888672,False
36,64,1.1564416885375977,0.3434028625488281,False
37,64,1.1747996807098389,0.3502321243286133,False
38,64,1.1547210216522217,0.3325815200805664,False
39,64,1.1963938474655151,0.37139225006103516,False
40,64,1.179155945777893,0.3263425827026367,False
41,64,1.1798428297042847,0.3201894760131836,False
42,64,1.2123363018035889,0.3213376998901367,False
43,64,1.1765018701553345,0.3137941360473633,False
44,64,1.1225738525390625,0.3276100158691406,False
45,64,1.1546366214752197,0.3392000198364258,False
46,64,1.1931484937667847,0.31670188903808594,False
47,64,1.1285741329193115,0.3323698043823242,False
48,64,1.1949983835220337,0.31473445892333984,False
49,64,1.2158253192901611,0.2966156005859375,False
50,64,1.186643123626709,0.3023815155029297,False
